pass,pass_name,row_id,kind,phase,step_i,item_key,start_x,start_y,start_z,start_rx,start_ry,start_rz,send_x,send_y,send_z,send_rx,send_ry,send_rz,target_x,target_y,target_z,target_rx,target_ry,target_rz,meas_x,meas_y,meas_z,meas_rx,meas_ry,meas_rz,ex,ey,ez,err_xyz,erx,ery,erz,err_r
0,baseline,29,sauce_place,go_top,2,mayonnaise,-60.8,-36.8,318.9,-118.24,-0.43,-174.48,15.0,-250.0,210.0,-180.0,0.0,-90.0,15.0,-250.0,210.0,-180.0,0.0,-90.0,13.8,-244.6,204.2,179.7,1.94,-90.45,-1.1999999999999993,5.400000000000006,-5.800000000000011,8.014985963805563,-0.2999999999999545,1.9399999999999977,-0.44999999999998863,2.0139761666911435
0,baseline,30,sauce_place,go_down,2,mayonnaise,13.8,-244.6,204.2,179.7,1.94,-90.45,15.0,-250.0,170.0,-180.0,0.0,-90.0,15.0,-250.0,170.0,-180.0,0.0,-90.0,14.8,-250.0,172.6,-179.44,-0.55,-90.43,-0.1999999999999993,0.0,2.5999999999999943,2.6076809620810537,0.5600000000000023,-0.5500000000000114,-0.4300000000000068,0.8949860334105895
0,baseline,31,sauce_place,go_up,2,mayonnaise,14.8,-250.0,172.6,-179.44,-0.55,-90.43,15.0,-250.0,210.0,-180.0,0.0,-90.0,15.0,-250.0,210.0,-180.0,0.0,-90.0,13.1,-244.7,207.3,-179.86,0.69,-90.44,-1.9000000000000004,5.300000000000011,-2.6999999999999886,6.244197306299671,0.13999999999998636,0.6899999999999977,-0.4399999999999977,0.8302409288875073
0,baseline,32,base,go_base,-1,sauce_base,13.1,-244.7,207.3,-179.86,0.69,-90.44,-61.0,-40.0,318.0,-120.0,0.0,-175.0,-61.0,-40.0,318.0,-120.0,0.0,-175.0,-60.8,-35.9,319.1,-117.81,-0.38,-174.52,0.20000000000000284,4.100000000000001,1.1000000000000227,4.249705872175164,2.1899999999999977,-0.37999999999999545,0.47999999999998977,2.2739613013417745
0,baseline,33,base,go_base,-1,base,-60.8,-35.9,319.1,-117.81,-0.38,-174.52,170.0,-65.0,263.0,-180.0,0.0,0.0,170.0,-65.0,263.0,-180.0,0.0,0.0,170.8,-65.5,260.0,-179.56,1.4,-0.79,0.8000000000000114,-0.5,-3.0,3.1448370387032805,0.4399999999999977,1.4000000000000057,-0.789999999999992,1.6666433331699981
0,baseline,34,pour,go_pour,-1,pour,170.8,-65.5,260.0,-179.56,1.4,-0.79,170.0,-56.0,155.0,-155.0,0.0,-90.0,170.0,-56.0,155.0,-155.0,0.0,-90.0,170.2,-56.2,156.2,-154.57,0.09,-89.7,0.19999999999998863,-0.20000000000000284,1.1999999999999886,1.2328828005937829,0.4300000000000068,0.09000000000000341,0.30000000000001137,0.531977443130828
0,baseline,35,pour,pour_seq_0,-1,pour_seq_0,170.2,-56.2,156.2,-154.57,0.09,-89.7,168.0,-41.0,155.0,-155.0,0.0,-90.0,168.0,-41.0,155.0,-155.0,0.0,-90.0,168.6,-40.7,152.9,-155.74,0.01,-89.63,0.5999999999999943,0.29999999999999716,-2.0999999999999943,2.204540768504853,-0.7400000000000091,0.009999999999990905,0.37000000000000455,0.8274055837375142
0,baseline,36,pour,pour_seq_1,-1,pour_seq_1,168.6,-40.7,152.9,-155.74,0.01,-89.63,168.0,-71.0,155.0,-155.0,0.0,-90.0,168.0,-71.0,155.0,-155.0,0.0,-90.0,167.7,-69.8,156.9,-154.41,-0.2,-90.27,-0.30000000000001137,1.2000000000000028,1.9000000000000057,2.2671568097509347,0.5900000000000034,-0.19999999999998863,-0.2699999999999818,0.6789698078707106
0,baseline,37,pour,pour_seq_2,-1,pour_seq_2,167.7,-69.8,156.9,-154.41,-0.2,-90.27,162.0,-41.0,155.0,-155.0,0.0,-90.0,162.0,-41.0,155.0,-155.0,0.0,-90.0,162.9,-41.2,153.3,-155.82,0.07,-89.62,0.9000000000000057,-0.20000000000000284,-1.6999999999999886,1.9339079605813645,-0.8199999999999932,0.06999999999999318,0.37999999999999545,0.906476695784279
0,baseline,38,pour,pour_seq_3,-1,pour_seq_3,162.9,-41.2,153.3,-155.82,0.07,-89.62,162.0,-71.0,155.0,-155.0,0.0,-90.0,162.0,-71.0,155.0,-155.0,0.0,-90.0,161.4,-70.5,156.4,-154.32,-0.12,-90.39,-0.5999999999999943,0.5,1.4000000000000057,1.6031219541881425,0.6800000000000068,-0.12000000000000455,-0.38999999999998636,0.7930321557162735
0,baseline,39,pour,pour_seq_4,-1,pour_seq_4,161.4,-70.5,156.4,-154.32,-0.12,-90.39,154.0,-41.0,155.0,-155.0,0.0,-90.0,154.0,-41.0,155.0,-155.0,0.0,-90.0,154.2,-41.5,154.8,-155.09,0.2,-89.76,0.19999999999998863,-0.5,-0.19999999999998863,0.574456264653795,-0.09000000000000341,0.19999999999998863,0.2400000000000091,0.32511536414017783
0,baseline,40,pour,pour_seq_5,-1,pour_seq_5,154.2,-41.5,154.8,-155.09,0.2,-89.76,154.0,-71.0,155.0,-155.0,0.0,-90.0,154.0,-71.0,155.0,-155.0,0.0,-90.0,153.7,-70.2,156.3,-154.5,-0.19,-90.23,-0.30000000000001137,0.7999999999999972,1.3000000000000114,1.5556349186104148,0.5,-0.18999999999999773,-0.2300000000000182,0.582237065120392
0,baseline,41,base,go_base,-1,base,153.7,-70.2,156.3,-154.5,-0.19,-90.23,170.0,-65.0,263.0,-180.0,0.0,0.0,170.0,-65.0,263.0,-180.0,0.0,0.0,172.0,-65.5,260.4,-179.55,0.78,0.17,2.0,-0.5,-2.6000000000000227,3.3181320046074294,0.44999999999998863,0.7800000000000011,0.1699999999999875,0.9164060235506898
0,baseline,42,base,go_base,-1,sauce_base,172.0,-65.5,260.4,-179.55,0.78,0.17,-61.0,-40.0,318.0,-120.0,0.0,-175.0,-61.0,-40.0,318.0,-120.0,0.0,-175.0,-60.8,-37.0,319.1,-118.33,-0.34,-174.52,0.20000000000000284,3.0,1.1000000000000227,3.2015621187164323,1.670000000000016,-0.3400000000000034,0.47999999999998977,1.770564881612658
